mode,gamma,total_charge_MWh_sum,total_charge_MWh_mean,total_discharge_MWh_sum,total_discharge_MWh_mean,sat_hours_sum,sat_hours_mean,sat_MWh_sum,sat_MWh_mean,D_ch_norm_sum,D_ch_norm_mean,D_dis_norm_sum,D_dis_norm_mean,mean_raw_cost,n_days
dispatchability,0.0,7358.087406630292,20.15914357980902,6687.219995568935,18.321150672791603,2990,8.191780821917808,2339.7874725040333,6.410376636997351,10276.44562974118,28.15464556093474,10010.765165236113,27.426753877359214,,365
dispatchability,0.0001,5991.827869761137,16.415966766468866,5447.259281449057,14.92399803136728,2996,8.208219178082192,1357.4162071490466,3.718948512737114,3231.7009553364983,8.853975220099995,2864.168722750524,7.8470375965767785,,365
dispatchability,0.0005,5708.5133480357745,15.639762597358287,5200.161028612445,14.247016516746426,2756,7.550684931506849,1119.3483700282375,3.0667078630910614,2265.513812149778,6.2068871565747346,1937.1473853707344,5.307253110604751,,365
dispatchability,0.001,5604.488468441172,15.354762927236088,5106.62226407682,13.990745928977589,2687,7.361643835616438,1018.7486494535314,2.7910921902836474,1924.0367585434863,5.271333585050647,1619.045775889824,4.435741851752942,,365
dispatchability,0.005,5176.4168263779875,14.181963907884898,4731.412341498291,12.962773538351483,2466,6.756164383561644,766.2206075103114,2.099234541124141,1271.9813877359118,3.484880514344964,989.7226442995886,2.7115688884920237,,365
dispatchability,0.01,4030.0718933623143,11.041292858526889,3727.1729446777363,10.211432725144483,2097,5.745205479452054,534.3369304125821,1.46393679565091,1021.7378679022921,2.7992818298692934,709.6018489076268,1.9441146545414434,,365
dual-price,0.0,3618.7597173266313,9.914410184456525,3280.9615698803495,8.98893580789137,1942,5.32054794520548,379.24776708010995,1.039034978301671,1346.2515194692278,3.688360327312953,1212.992323905472,3.3232666408369096,3455.8285908730854,365
dual-price,0.0001,3618.539392378495,9.91380655446163,3281.058319574806,8.989200875547413,1940,5.315068493150685,379.1910221722461,1.0388795128006743,1342.91566898661,3.679221010922219,1209.9908886112703,3.3150435304418364,3455.8098227603705,365
dual-price,0.0005,3618.18552789119,9.912837062715589,3280.850145593633,8.988630535872968,1941,5.317808219178082,379.1606641942987,1.0387963402583527,1341.8669126035145,3.6763477057630536,1209.0800462354975,3.3125480718780755,3455.8257480959305,365
dual-price,0.001,3616.888508114429,9.909283583875148,3279.5617320756137,8.9851006358236,1939,5.3123287671232875,378.68384570700835,1.037489988238379,1338.2052760089075,3.6663158246819383,1206.5117132775113,3.3055115432260584,3455.799473737915,365
dual-price,0.005,3612.5244723396618,9.897327321478526,3275.531296040185,8.974058345315576,1931,5.2904109589041095,375.9653138536358,1.0300419557633858,1320.2350007685945,3.6170821938865605,1192.8712357993916,3.2681403720531277,3455.5670857065984,365
dual-price,0.01,3606.1535961864533,9.879872866264256,3269.8344590794572,8.95845057282043,1939,5.3123287671232875,373.89511296447233,1.0243701725054037,1305.6773895528172,3.5771983275419648,1184.2653322107867,3.2445625540021554,3455.2366081316663,365
single-price,0.0,3491.5346260387814,9.56584829051721,3151.11,8.633178082191781,0,0.0,2.9415359037443523e-13,8.059002476011924e-16,0.0,0.0,0.0,0.0,3147.460125027557,365
single-price,0.0001,3491.5345527509653,9.565848089728672,3151.1099337552428,8.633177900699295,0,0.0,4.692479146966947e-07,1.2856107251964239e-09,0.0015334054692297942,4.201110874602176e-06,0.0037369576156954065,1.0238240043001114e-05,3147.459937743315,365
single-price,0.0005,3489.330207118269,9.559808786625394,3149.12051182773,8.627727429665013,0,0.0,4.792925195809661e-07,1.3131301906327839e-09,0.0005776778697696518,1.58267909525932e-06,0.0011452684247575855,3.1377217116646178e-06,3147.4601007496353,365
single-price,0.001,3487.674472049236,9.555272526162291,3147.6262109289414,8.62363345459984,0,0.0,4.941029637697593e-07,1.3537067500541351e-09,0.0005280693466961393,1.4467653334140803e-06,0.000578868490239755,1.5859410691500137e-06,3147.4601466354284,365
single-price,0.005,3484.9683825056363,9.547858582207223,3145.183965095399,8.61694237012438,0,0.0,6.147219827502608e-07,1.6841698157541392e-09,0.0019581448678112783,5.364780459756927e-06,0.0011641304350885314,3.189398452297346e-06,3147.4605197832143,365
single-price,0.01,3479.6707174736107,9.53334443143455,3140.4028224202475,8.603843349096568,0,0.0,4.636849909220991e-07,1.2703698381427373e-09,0.0024037443087507873,6.585600845892568e-06,0.0006348720563879642,1.7393754969533263e-06,3147.461944340763,365
