mode,gamma,delivery_start,raw_cost,D_ch_norm,D_dis_norm,total_charge_MWh,total_discharge_MWh,sat_hours,sat_MWh
single-price,0.0,2018-01-01 00:00:00+00:00,3166.058388424316,0.0,0.0,10.642659279778393,9.605,0,9.43689570931383e-16
single-price,0.0001,2018-01-01 00:00:00+00:00,3166.0583878432503,4.405803689682123e-09,5.496104609589816e-07,10.642659280686694,9.605000000788486,0,1.294444220861821e-10
single-price,0.0005,2018-01-01 00:00:00+00:00,3166.0583883329705,5.540959874627412e-10,4.6676072130268304e-08,10.642659279962002,9.60500000016397,0,1.591630104867636e-11
single-price,0.001,2018-01-01 00:00:00+00:00,3166.058386800345,8.583659797211174e-09,1.2358199398228933e-06,10.642659320866532,9.605000035794653,0,5.247379160422734e-09
single-price,0.005,2018-01-01 00:00:00+00:00,3166.058388425451,1.322219439688028e-10,8.06322230666192e-10,10.642659279929644,9.605000000134718,0,2.0261410928421758e-11
single-price,0.01,2018-01-01 00:00:00+00:00,3166.058387855052,9.283678131184554e-08,3.5800890515444253e-08,10.642659310690984,9.605000026810162,0,4.453725316806282e-09
dual-price,0.0,2018-01-01 00:00:00+00:00,3649.3518813333812,4.312659712262354,2.604893629718675,10.927062713092765,10.025276770745055,9,3.2722078445008815
dual-price,0.0001,2018-01-01 00:00:00+00:00,3649.3518813459514,4.312659711868305,2.6048936292700544,10.927062713002858,10.025276770577396,9,3.2722078431361132
dual-price,0.0005,2018-01-01 00:00:00+00:00,3649.3518811250487,4.312659705303338,2.6048936253401433,10.927062669915184,10.025276734165637,9,3.272207827082115
dual-price,0.001,2018-01-01 00:00:00+00:00,3649.35188134461,4.312659712281141,2.6048936294115363,10.927062702846479,10.025276765142284,9,3.2722078463257405
dual-price,0.005,2018-01-01 00:00:00+00:00,3649.220188158195,4.307435632311803,2.6042237614966695,10.913256325162518,10.013843644212436,9,3.262287624986302
dual-price,0.01,2018-01-01 00:00:00+00:00,3649.4276795080063,4.3025280139383195,2.566605239475784,10.919517563868029,10.017783257870079,9,3.2451875977649776
dispatchability,0.0,2018-01-01 00:00:00+00:00,,26.563020121661474,24.71591678769547,31.700986542421788,29.11306117786861,12,54.02063242079976
dispatchability,0.0001,2018-01-01 00:00:00+00:00,,11.220697655453048,9.075587052988398,27.389917606602936,24.935034912518397,11,19.936377822501118
dispatchability,0.0005,2018-01-01 00:00:00+00:00,,7.560059544478929,6.074158645413839,26.615218259097524,24.35152736571754,8,6.672699094140901
dispatchability,0.001,2018-01-01 00:00:00+00:00,,6.230472419214138,5.023691591269815,25.544577776872007,23.554707131849757,8,3.1287368964843227
dispatchability,0.005,2018-01-01 00:00:00+00:00,,3.710266733971738,2.887232239667793,20.52743912176804,18.838425917590733,9,1.2086809950538175
dispatchability,0.01,2018-01-01 00:00:00+00:00,,2.8390286829339524,1.9427542687531134,13.832463578299656,12.633600761275039,9,0.8870028912464626
single-price,0.0,2018-01-02 00:00:00+00:00,4356.121107129561,0.0,0.0,10.421052631578949,9.405,0,4.440892098500626e-16
single-price,0.0001,2018-01-02 00:00:00+00:00,4356.1211071312855,2.658535594113636e-10,8.354986883839928e-11,10.42105263173297,9.405000000130805,0,2.5877136516676704e-11
single-price,0.0005,2018-01-02 00:00:00+00:00,4356.121107505504,1.0790572703175854e-07,1.5364458766353696e-08,10.42105266905439,9.405000032422585,0,5.15218196130172e-09
single-price,0.001,2018-01-02 00:00:00+00:00,4356.121107624777,1.7754724705571583e-07,2.97268257370087e-08,10.421052678005273,9.405000039975107,0,6.667666175632862e-09
single-price,0.005,2018-01-02 00:00:00+00:00,4356.121107215786,1.7323280643476258e-08,2.3896214988993617e-09,10.42105263962284,9.405000006921735,0,1.0543597655962398e-09
single-price,0.01,2018-01-02 00:00:00+00:00,4356.121107130229,2.0061184812374007e-10,3.949313827389058e-11,10.421052631631701,9.405000000044584,0,7.98334202650233e-12
dual-price,0.0,2018-01-02 00:00:00+00:00,4526.462644213328,3.5741665744665387,3.26721004348065,9.740296617572419,8.771897968205057,9,1.0435551006111947
dual-price,0.0001,2018-01-02 00:00:00+00:00,4526.4626442044655,3.5741665743594573,3.2672100434934968,9.7402966178165,8.771897968376722,9,1.0435551001226209
dual-price,0.0005,2018-01-02 00:00:00+00:00,4526.462643178623,3.5741665787605292,3.2672100461390716,9.74029663991065,8.771897977579755,9,1.0435550656930257
dual-price,0.001,2018-01-02 00:00:00+00:00,4526.462644131694,3.5741665722830445,3.267210042472405,9.740296619067573,8.77189796919753,9,1.0435550958233972
dual-price,0.005,2018-01-02 00:00:00+00:00,4526.46254627476,3.5741679148570547,3.2672064960327676,9.740292371210458,8.771894134039952,9,1.0435563147708806
dual-price,0.01,2018-01-02 00:00:00+00:00,4526.992190765228,3.5817646634674047,3.2406993833105355,9.725312371612691,8.758374685433271,9,1.0598317568886
