price_model,k,box_lo,box_hi,total_charge_MWh_sum,total_charge_MWh_mean,total_discharge_MWh_sum,total_discharge_MWh_mean,sat_hours_sum,sat_hours_mean,total_cost_sum,total_cost_mean,n_days
dual,0,0.05,0.95,3865.5433039693103,10.590529599915918,3507.463699505487,9.609489587686266,711,1.9479452054794522,1268565.4259537666,3475.5217149418263,365
dual,0,0.1,0.9,3746.7070017064675,10.26495068960676,3401.9520650158543,9.320416616481792,1276,3.495890410958904,1266726.71763892,3470.4841579148497,365
dual,0,0.15,0.85,3641.532371540965,9.976801017920453,3303.8018854810557,9.051512015016591,1947,5.3342465753424655,1265679.2568232736,3467.614402255544,365
dual,0,0.2,0.8,3573.282852527835,9.789816034322836,3251.9827800703715,8.909541863206497,2390,6.5479452054794525,1269501.3704984856,3478.0859465711933,365
dual,0,0.25,0.75,4074.697566405764,11.163554976454147,3683.129808336877,10.090766598183224,3786,10.372602739726027,1295887.7212870242,3550.377318594587,365
dual,0,0.3,0.7,4368.668875900061,11.968955824383729,3923.9321216460717,10.750498963413895,4083,11.186301369863013,1306958.8350270498,3580.7091370604103,365
dual,0,0.35,0.65,5681.635215942611,15.566123879294823,4959.057847183037,13.586459855295992,6008,16.46027397260274,1356383.2451554867,3716.118479878046,365
single,0,0.05,0.95,3491.5346260387814,9.56584829051721,3151.11,8.633178082191781,0,0.0,1148822.9456350582,3147.460125027557,365
single,0,0.1,0.9,3491.5346260387814,9.56584829051721,3151.11,8.633178082191781,0,0.0,1148822.9456350582,3147.460125027557,365
single,0,0.15,0.85,3491.5346260387814,9.56584829051721,3151.11,8.633178082191781,0,0.0,1148822.9456350582,3147.460125027557,365
single,0,0.2,0.8,3491.5346260387814,9.56584829051721,3151.11,8.633178082191781,0,0.0,1148822.9456350582,3147.460125027557,365
single,0,0.25,0.75,3491.5346260387814,9.56584829051721,3151.11,8.633178082191781,0,0.0,1148822.9456350582,3147.460125027557,365
single,0,0.3,0.7,3491.5346260387814,9.56584829051721,3151.11,8.633178082191781,0,0.0,1148822.9456350582,3147.460125027557,365
single,0,0.35,0.65,3491.5346260387814,9.56584829051721,3151.11,8.633178082191781,0,0.0,1148822.9456350582,3147.460125027557,365
