price_model,k,box_lo,box_hi,delivery_start,total_charge_MWh,total_discharge_MWh,sat_hours,total_cost
dual,0,0.35,0.65,2018-01-10 00:00:00+00:00,13.786643624521052,12.537445871130249,15,4865.40031632789
single,0,0.05,0.95,2018-01-11 00:00:00+00:00,8.421052631578947,7.6000000000000005,0,4177.499376565729
single,0,0.1,0.9,2018-01-11 00:00:00+00:00,8.421052631578947,7.6000000000000005,0,4177.499376565729
single,0,0.15,0.85,2018-01-11 00:00:00+00:00,8.421052631578947,7.6000000000000005,0,4177.499376565729
single,0,0.2,0.8,2018-01-11 00:00:00+00:00,8.421052631578947,7.6000000000000005,0,4177.499376565729
single,0,0.25,0.75,2018-01-11 00:00:00+00:00,8.421052631578947,7.6000000000000005,0,4177.499376565729
single,0,0.3,0.7,2018-01-11 00:00:00+00:00,8.421052631578947,7.6000000000000005,0,4177.499376565729
single,0,0.35,0.65,2018-01-11 00:00:00+00:00,8.421052631578947,7.6000000000000005,0,4177.499376565729
dual,0,0.05,0.95,2018-01-11 00:00:00+00:00,7.374123618660567,6.725660061929117,5,4770.820916813426
dual,0,0.1,0.9,2018-01-11 00:00:00+00:00,6.794540801228536,6.145774953739728,4,4736.371559182017
dual,0,0.15,0.85,2018-01-11 00:00:00+00:00,6.57989375237044,5.923863165657189,7,4742.2234807589975
dual,0,0.2,0.8,2018-01-11 00:00:00+00:00,6.62278464576932,5.967395141153857,10,4713.722830809722
dual,0,0.25,0.75,2018-01-11 00:00:00+00:00,7.172949553518808,6.749010002142498,13,4993.1314679824
dual,0,0.3,0.7,2018-01-11 00:00:00+00:00,6.834297765587363,6.445282745002082,15,5018.890122043346
dual,0,0.35,0.65,2018-01-11 00:00:00+00:00,12.640317612506141,11.126116185732347,14,5075.666774075947
single,0,0.05,0.95,2018-01-12 00:00:00+00:00,10.31578947368421,9.31,0,4287.717268765009
single,0,0.1,0.9,2018-01-12 00:00:00+00:00,10.31578947368421,9.31,0,4287.717268765009
single,0,0.15,0.85,2018-01-12 00:00:00+00:00,10.31578947368421,9.31,0,4287.717268765009
single,0,0.2,0.8,2018-01-12 00:00:00+00:00,10.31578947368421,9.31,0,4287.717268765009
single,0,0.25,0.75,2018-01-12 00:00:00+00:00,10.31578947368421,9.31,0,4287.717268765009
single,0,0.3,0.7,2018-01-12 00:00:00+00:00,10.31578947368421,9.31,0,4287.717268765009
single,0,0.35,0.65,2018-01-12 00:00:00+00:00,10.31578947368421,9.31,0,4287.717268765009
dual,0,0.05,0.95,2018-01-12 00:00:00+00:00,10.108658120570816,9.12306395381516,0,4391.97369226686
dual,0,0.1,0.9,2018-01-12 00:00:00+00:00,9.085019454918042,8.189516712131475,1,4392.772394083006
dual,0,0.15,0.85,2018-01-12 00:00:00+00:00,8.607229190862036,7.6777100193747625,6,4398.954466814857
dual,0,0.2,0.8,2018-01-12 00:00:00+00:00,7.843150445802756,7.020672006842995,8,4397.609555641509
dual,0,0.25,0.75,2018-01-12 00:00:00+00:00,7.842641336435756,6.6703516036702375,11,4410.23396992689
dual,0,0.3,0.7,2018-01-12 00:00:00+00:00,7.860006108101536,6.828933220736285,11,4401.634583502169
dual,0,0.35,0.65,2018-01-12 00:00:00+00:00,8.597622551569495,7.566869083323744,14,4388.370335802847
single,0,0.05,0.95,2018-01-13 00:00:00+00:00,10.537396121883656,9.51,0,4373.07447305307
single,0,0.1,0.9,2018-01-13 00:00:00+00:00,10.537396121883656,9.51,0,4373.07447305307
single,0,0.15,0.85,2018-01-13 00:00:00+00:00,10.537396121883656,9.51,0,4373.07447305307
