price_model,k,box_lo,box_hi,total_charge_MWh_sum,total_charge_MWh_mean,total_discharge_MWh_sum,total_discharge_MWh_mean,sat_hours_sum,sat_hours_mean,sat_MWh_sum,sat_MWh_mean,n_days
dual,0,0.05,0.95,3541.867928867654,9.70374775032234,3196.316766831494,8.757032237894505,241,0.6602739726027397,24.737694873193803,0.06777450650190082,365
dual,0,0.1,0.9,3544.958956265465,9.712216318535521,3199.0958307856467,8.764646111741499,575,1.5753424657534247,65.17893729645036,0.17857243094917907,365
dual,0,0.15,0.85,3543.196824337088,9.707388559827638,3195.749817503133,8.755478952063378,1132,3.1013698630136988,136.61593900788293,0.3742902438572135,365
dual,0,0.2,0.8,3539.1332965680026,9.696255607035624,3189.0335341222444,8.737078175677382,1479,4.052054794520548,222.00170844577409,0.6082238587555454,365
dual,0,0.25,0.75,3521.325314186892,9.647466614210662,3168.1488315672436,8.679859812512996,2492,6.8273972602739725,434.03963528328967,1.189149685707643,365
dual,0,0.3,0.7,3518.4269473339864,9.639525883106812,3161.217559605257,8.660870026315774,2791,7.646575342465753,572.9360530470454,1.5696878165672479,365
dual,0,0.35,0.65,3467.6324452473036,9.500362863691242,3110.503471065394,8.52192731798738,4044,11.07945205479452,1212.013095260778,3.3205838226322686,365
dual,1,0.05,0.95,7735.89229437034,21.194225464028328,7069.4825313657175,19.368445291412925,1544,4.23013698630137,499.7330091601032,1.3691315319454882,365
dual,1,0.1,0.9,7394.685039741287,20.25941106778435,6742.607850852004,18.47289822151234,2145,5.876712328767123,1035.3914285862675,2.8366888454418286,365
dual,1,0.15,0.85,7138.3162764819845,19.55703089447119,6492.529861929774,17.787753046382942,2937,8.046575342465754,2038.1554195879903,5.583987450926001,365
dual,1,0.2,0.8,7131.169410724371,19.53745044034074,6481.624007040499,17.757873991891778,3574,9.791780821917808,2971.465806306441,8.141002209058742,365
dual,1,0.25,0.75,6734.268243196719,18.450049981360873,6116.353902673691,16.75713397992792,4742,12.991780821917809,5583.197694347895,15.296432039309302,365
dual,1,0.3,0.7,7037.128153803021,19.279803161104166,6405.490057419205,17.54928782854577,5208,14.26849315068493,7120.300711067521,19.507673181006908,365
dual,1,0.35,0.65,6320.978345243118,17.317748891077038,5777.202244989466,15.827951356135523,6385,17.493150684931507,13563.736449477254,37.16092177938974,365
single,0,0.05,0.95,3491.5346250524763,9.565848287815003,3151.109999002366,8.633178079458537,0,0.0,4.7590327113003356e-07,1.303844578438448e-09,365
single,0,0.1,0.9,3491.5346293326306,9.565848299541454,3151.1100028492706,8.633178089998001,0,0.0,5.32475529725378e-07,1.4588370677407616e-09,365
single,0,0.15,0.85,3491.5346278782645,9.565848295556888,3151.110001548602,8.633178086434526,0,0.0,4.816280135666017e-07,1.3195288042920594e-09,365
single,0,0.2,0.8,3491.5346247146194,9.565848286889368,3151.1099987145817,8.633178078670086,0,0.0,5.921307039846414e-07,1.6222759013277846e-09,365
single,0,0.25,0.75,3491.5346300975048,9.565848301636999,3151.1100026051386,8.633178089329146,0,0.0,1.9739108889588883e-06,5.407975038243529e-09,365
single,0,0.3,0.7,3491.5346844471715,9.565848450540196,3151.110046368536,8.633178209228866,3,0.00821917808219178,1.6487970944876372e-05,4.51725231366476e-08,365
single,0,0.35,0.65,3491.533898563333,9.565846297433788,3151.1093290282915,8.633176243913127,19,0.052054794520547946,0.0016904126913382571,4.631267647502075e-06,365
single,1,0.05,0.95,7735.89229437034,21.194225464028328,7069.4825313657175,19.368445291412925,1544,4.23013698630137,499.7330091601032,1.3691315319454882,365
single,1,0.1,0.9,7394.685039741287,20.25941106778435,6742.607850852004,18.47289822151234,2145,5.876712328767123,1035.3914285862675,2.8366888454418286,365
single,1,0.15,0.85,7138.3162764819845,19.55703089447119,6492.529861929774,17.787753046382942,2937,8.046575342465754,2038.1554195879903,5.583987450926001,365
single,1,0.2,0.8,7131.169410724371,19.53745044034074,6481.624007040499,17.757873991891778,3574,9.791780821917808,2971.465806306441,8.141002209058742,365
single,1,0.25,0.75,6734.268243196719,18.450049981360873,6116.353902673691,16.75713397992792,4742,12.991780821917809,5583.197694347895,15.296432039309302,365
single,1,0.3,0.7,7037.128153803021,19.279803161104166,6405.490057419205,17.54928782854577,5208,14.26849315068493,7120.300711067521,19.507673181006908,365
single,1,0.35,0.65,6320.978345243118,17.317748891077038,5777.202244989466,15.827951356135523,6385,17.493150684931507,13563.736449477254,37.16092177938974,365
