price_model,k,box_lo,box_hi,delivery_start,total_charge_MWh,total_discharge_MWh,sat_hours,sat_MWh
single,0,0.05,0.95,2018-01-01 00:00:00+00:00,10.71213695308915,9.648859396700693,10,0.046222286422442874
single,0,0.1,0.9,2018-01-01 00:00:00+00:00,10.730202741462726,9.677888069778232,4,0.009387032816645966
single,0,0.15,0.85,2018-01-01 00:00:00+00:00,10.643789578026986,9.604011688985914,16,0.10717184743568688
single,0,0.2,0.8,2018-01-01 00:00:00+00:00,10.64378560380278,9.609168839077082,20,0.2635043809626295
single,0,0.25,0.75,2018-01-01 00:00:00+00:00,10.634093403926908,9.602323354423856,21,0.48034927515772763
single,0,0.3,0.7,2018-01-01 00:00:00+00:00,10.636481323485825,9.602637792995122,21,0.3192239827216782
single,0,0.35,0.65,2018-01-01 00:00:00+00:00,10.633449786110255,9.599550726606225,23,0.49632128827301736
single,1,0.05,0.95,2018-01-01 00:00:00+00:00,20.431030796797984,19.393300061634317,20,39.46143638689311
single,1,0.1,0.9,2018-01-01 00:00:00+00:00,27.579417606912155,25.861568248189222,16,40.654158803681355
single,1,0.15,0.85,2018-01-01 00:00:00+00:00,31.95918388075733,29.207251766653748,20,46.59849991306818
single,1,0.2,0.8,2018-01-01 00:00:00+00:00,34.30052764502127,31.051226199631692,23,55.284599873625844
single,1,0.25,0.75,2018-01-01 00:00:00+00:00,33.51291252312646,30.34040355212163,24,56.93794741556543
single,1,0.3,0.7,2018-01-01 00:00:00+00:00,34.10526315789474,30.874999999999996,24,62.900115854012064
single,1,0.35,0.65,2018-01-01 00:00:00+00:00,33.756889374996746,30.56059266093456,24,58.03272250807043
dual,0,0.05,0.95,2018-01-01 00:00:00+00:00,20.75604804494536,19.12387922498602,22,100.68380178523094
dual,0,0.1,0.9,2018-01-01 00:00:00+00:00,20.581166153589706,17.694956135717966,19,182.68600092175143
dual,0,0.15,0.85,2018-01-01 00:00:00+00:00,30.217931586588897,26.91272013646615,18,99.3227210677176
dual,0,0.2,0.8,2018-01-01 00:00:00+00:00,33.061852046153774,28.948822736149395,18,113.13667571265802
dual,0,0.25,0.75,2018-01-01 00:00:00+00:00,29.834907320448142,27.021003856704443,19,56.35359617315652
