price_model,k,box_lo,box_hi,delivery_start,total_charge_MWh,total_discharge_MWh,sat_hours,sat_MWh
single,0,0.05,0.95,2018-01-01 00:00:00+00:00,10.642659280402027,9.605000000543482,0,7.56789567724209e-11
single,0,0.1,0.9,2018-01-01 00:00:00+00:00,10.642659280831152,9.605000000912893,0,1.8113826598360665e-10
single,0,0.15,0.85,2018-01-01 00:00:00+00:00,10.642659288462564,9.605000007553505,0,1.1813681822028692e-09
single,0,0.2,0.8,2018-01-01 00:00:00+00:00,10.642659288076374,9.60500000470524,0,1.5104645199258705e-07
single,0,0.25,0.75,2018-01-01 00:00:00+00:00,10.642659279990873,9.605000000152618,0,9.57341688916376e-10
single,0,0.3,0.7,2018-01-01 00:00:00+00:00,10.642659271103486,9.604999999114806,0,9.582248759017218e-08
single,0,0.35,0.65,2018-01-01 00:00:00+00:00,10.642659276374193,9.604999999271055,0,2.1468800548264493e-08
single,1,0.05,0.95,2018-01-01 00:00:00+00:00,23.586527644942674,22.037769025507174,11,20.862409322321664
single,1,0.1,0.9,2018-01-01 00:00:00+00:00,26.528583984091924,24.648642600523736,11,33.35288329557488
single,1,0.15,0.85,2018-01-01 00:00:00+00:00,29.702108971468967,27.214331055026634,12,50.59815859004917
single,1,0.2,0.8,2018-01-01 00:00:00+00:00,31.39539474874887,28.76002617416533,15,72.72625837521161
single,1,0.25,0.75,2018-01-01 00:00:00+00:00,31.096198024910912,28.387109330796008,19,100.2675690838134
single,1,0.3,0.7,2018-01-01 00:00:00+00:00,33.085997884951695,30.07109353597079,20,112.25930509321338
single,1,0.35,0.65,2018-01-01 00:00:00+00:00,33.45013117582722,30.283743386184064,22,111.69640905964582
dual,0,0.05,0.95,2018-01-01 00:00:00+00:00,9.841222373704111,8.881703191064274,4,1.1043622511509894
dual,0,0.1,0.9,2018-01-01 00:00:00+00:00,10.039836313863882,9.060952273255255,3,1.4842132692562846
dual,0,0.15,0.85,2018-01-01 00:00:00+00:00,10.26094062543722,9.260498914440667,4,1.7763267732405155
dual,0,0.2,0.8,2018-01-01 00:00:00+00:00,10.058935303974284,9.078189110563592,4,1.8690786269135882
dual,0,0.25,0.75,2018-01-01 00:00:00+00:00,10.058834903749819,9.078098500647602,8,2.1448935043929884
dual,0,0.3,0.7,2018-01-01 00:00:00+00:00,10.127549462391077,9.10058252020093,9,3.7490530659301653
dual,0,0.35,0.65,2018-01-01 00:00:00+00:00,9.610781134069512,8.676520164063408,16,5.2231855815219
dual,1,0.05,0.95,2018-01-01 00:00:00+00:00,23.586527644942674,22.037769025507174,11,20.862409322321664
dual,1,0.1,0.9,2018-01-01 00:00:00+00:00,26.528583984091924,24.648642600523736,11,33.35288329557488
dual,1,0.15,0.85,2018-01-01 00:00:00+00:00,29.702108971468967,27.214331055026634,12,50.59815859004917
dual,1,0.2,0.8,2018-01-01 00:00:00+00:00,31.39539474874887,28.76002617416533,15,72.72625837521161
dual,1,0.25,0.75,2018-01-01 00:00:00+00:00,31.096198024910912,28.387109330796008,19,100.2675690838134
dual,1,0.3,0.7,2018-01-01 00:00:00+00:00,33.085997884951695,30.07109353597079,20,112.25930509321338
dual,1,0.35,0.65,2018-01-01 00:00:00+00:00,33.45013117582722,30.283743386184064,22,111.69640905964582
single,0,0.05,0.95,2018-01-02 00:00:00+00:00,10.421052633078581,9.405000001110851,0,4.83231981605235e-10
single,0,0.1,0.9,2018-01-02 00:00:00+00:00,10.421052677089563,9.405000039307716,0,6.630759465276124e-09
single,0,0.15,0.85,2018-01-02 00:00:00+00:00,10.421052634572895,9.405000002563552,0,4.6560795492369315e-10
single,0,0.2,0.8,2018-01-02 00:00:00+00:00,10.421052632147937,9.405000000460285,0,1.3611817391567272e-10
single,0,0.25,0.75,2018-01-02 00:00:00+00:00,10.421052695146678,9.405000053575943,0,8.977218457583632e-09
single,0,0.3,0.7,2018-01-02 00:00:00+00:00,10.421053687512272,9.405000887438884,0,8.199159466324451e-08
single,0,0.35,0.65,2018-01-02 00:00:00+00:00,10.421066324612474,9.40501118083167,1,1.8501483088122514e-06
single,1,0.05,0.95,2018-01-02 00:00:00+00:00,17.623330839242705,15.756781133287188,1,0.1642935724424921
single,1,0.1,0.9,2018-01-02 00:00:00+00:00,17.649393933804994,16.326788994598743,9,3.5477187033425377
single,1,0.15,0.85,2018-01-02 00:00:00+00:00,18.01020590524945,16.500926794937406,11,12.382837476911522
single,1,0.2,0.8,2018-01-02 00:00:00+00:00,19.459869246845393,17.68640958068914,11,18.836527030758784
single,1,0.25,0.75,2018-01-02 00:00:00+00:00,18.734094217855777,16.872964691375095,13,31.187193087868465
single,1,0.3,0.7,2018-01-02 00:00:00+00:00,19.430953940622317,17.69369268841149,14,36.71141394163699
single,1,0.35,0.65,2018-01-02 00:00:00+00:00,18.26890342853825,17.33574378502695,17,37.384805306786305
dual,0,0.05,0.95,2018-01-02 00:00:00+00:00,11.043570693005876,9.966822549985178,0,1.8705372275320768e-09
dual,0,0.1,0.9,2018-01-02 00:00:00+00:00,10.858230194364971,9.79955275021624,2,0.08307886161277031
dual,0,0.15,0.85,2018-01-02 00:00:00+00:00,11.250439086410386,10.153521275106883,4,0.4082743967072237
dual,0,0.2,0.8,2018-01-02 00:00:00+00:00,11.10710958183062,10.024166397568813,5,0.8908191373820222
dual,0,0.25,0.75,2018-01-02 00:00:00+00:00,11.125099957402758,9.966563526138948,5,1.48451242433935
dual,0,0.3,0.7,2018-01-02 00:00:00+00:00,11.098766622291365,9.938024115423337,5,1.5995640323375375
dual,0,0.35,0.65,2018-01-02 00:00:00+00:00,11.03925020491256,9.853123100601891,9,2.036902222113027
dual,1,0.05,0.95,2018-01-02 00:00:00+00:00,17.623330839242705,15.756781133287188,1,0.1642935724424921
dual,1,0.1,0.9,2018-01-02 00:00:00+00:00,17.649393933804994,16.326788994598743,9,3.5477187033425377
dual,1,0.15,0.85,2018-01-02 00:00:00+00:00,18.01020590524945,16.500926794937406,11,12.382837476911522
dual,1,0.2,0.8,2018-01-02 00:00:00+00:00,19.459869246845393,17.68640958068914,11,18.836527030758784
dual,1,0.25,0.75,2018-01-02 00:00:00+00:00,18.734094217855777,16.872964691375095,13,31.187193087868465
dual,1,0.3,0.7,2018-01-02 00:00:00+00:00,19.430953940622317,17.69369268841149,14,36.71141394163699
dual,1,0.35,0.65,2018-01-02 00:00:00+00:00,18.26890342853825,17.33574378502695,17,37.384805306786305
single,0,0.05,0.95,2018-01-03 00:00:00+00:00,12.315789473769803,11.115000000073369,0,1.0985472536719523e-11
single,0,0.1,0.9,2018-01-03 00:00:00+00:00,12.315789474024601,11.11500000027753,0,7.696889820523438e-11
single,0,0.15,0.85,2018-01-03 00:00:00+00:00,12.315789473719853,11.115000000032879,0,3.3987724554711813e-12
single,0,0.2,0.8,2018-01-03 00:00:00+00:00,12.31578947396666,11.115000000134138,0,2.7015377767824607e-10
single,0,0.25,0.75,2018-01-03 00:00:00+00:00,12.315789473816235,11.115000000113914,0,1.4232136836532165e-11
single,0,0.3,0.7,2018-01-03 00:00:00+00:00,12.315789527861149,11.11500004367047,0,5.348771662167801e-09
single,0,0.35,0.65,2018-01-03 00:00:00+00:00,12.31579066793029,11.11500097474303,0,2.183847566592923e-07
single,1,0.05,0.95,2018-01-03 00:00:00+00:00,15.642571535331351,14.088627423241329,1,0.03190403035480649
single,1,0.1,0.9,2018-01-03 00:00:00+00:00,13.937462500962383,12.415536201134186,3,0.6248064506187155
single,1,0.15,0.85,2018-01-03 00:00:00+00:00,12.920668535235471,10.929775180372278,6,4.35910002247316
single,1,0.2,0.8,2018-01-03 00:00:00+00:00,12.388614441503412,10.65314036485789,9,6.888697751866944
single,1,0.25,0.75,2018-01-03 00:00:00+00:00,12.028969984652463,10.468232486018243,15,16.430906491229017
single,1,0.3,0.7,2018-01-03 00:00:00+00:00,13.947034881075218,12.826399572288576,16,16.667934799078573
single,1,0.35,0.65,2018-01-03 00:00:00+00:00,13.34112353700007,12.720606207274162,17,20.108594337562103
dual,0,0.05,0.95,2018-01-03 00:00:00+00:00,11.118814694693773,10.034730261784906,0,4.888060983488214e-10
dual,0,0.1,0.9,2018-01-03 00:00:00+00:00,11.279468849785218,10.179720636897489,0,1.0175110544835978e-10
dual,0,0.15,0.85,2018-01-03 00:00:00+00:00,11.202969060906765,10.110679576949451,3,0.07953428165808342
dual,0,0.2,0.8,2018-01-03 00:00:00+00:00,11.434452967383859,10.319593770059702,4,0.11186817908329777
dual,0,0.25,0.75,2018-01-03 00:00:00+00:00,11.437045366701986,10.108751988768743,4,0.507147100142397
dual,0,0.3,0.7,2018-01-03 00:00:00+00:00,11.517624123802726,10.166459374589925,4,0.6000355010408898
dual,0,0.35,0.65,2018-01-03 00:00:00+00:00,11.975964112779215,10.659148183258566,8,1.0628793430822667
dual,1,0.05,0.95,2018-01-03 00:00:00+00:00,15.642571535331351,14.088627423241329,1,0.03190403035480649
dual,1,0.1,0.9,2018-01-03 00:00:00+00:00,13.937462500962383,12.415536201134186,3,0.6248064506187155
dual,1,0.15,0.85,2018-01-03 00:00:00+00:00,12.920668535235471,10.929775180372278,6,4.35910002247316
dual,1,0.2,0.8,2018-01-03 00:00:00+00:00,12.388614441503412,10.65314036485789,9,6.888697751866944
dual,1,0.25,0.75,2018-01-03 00:00:00+00:00,12.028969984652463,10.468232486018243,15,16.430906491229017
dual,1,0.3,0.7,2018-01-03 00:00:00+00:00,13.947034881075218,12.826399572288576,16,16.667934799078573
dual,1,0.35,0.65,2018-01-03 00:00:00+00:00,13.34112353700007,12.720606207274162,17,20.108594337562103
single,0,0.05,0.95,2018-01-04 00:00:00+00:00,8.421052667434328,7.60000003151184,0,7.2186115898329645e-09
single,0,0.1,0.9,2018-01-04 00:00:00+00:00,8.421052635708957,7.6000000036800825,0,9.120429093662787e-10
single,0,0.15,0.85,2018-01-04 00:00:00+00:00,8.421052639516573,7.600000006985495,0,1.5733686873952478e-09
single,0,0.2,0.8,2018-01-04 00:00:00+00:00,8.421052632593025,7.60000000088603,0,1.9393035261743862e-10
single,0,0.25,0.75,2018-01-04 00:00:00+00:00,8.421052658874153,7.600000023920225,0,4.291367619517669e-09
single,0,0.3,0.7,2018-01-04 00:00:00+00:00,8.421053381465011,7.6000006398575115,0,4.342250671621663e-08
single,0,0.35,0.65,2018-01-04 00:00:00+00:00,8.421052955765479,7.600000280944856,0,1.3466278152566215e-08
single,1,0.05,0.95,2018-01-04 00:00:00+00:00,16.462264369113733,14.790787042765267,2,0.07358066521870033
single,1,0.1,0.9,2018-01-04 00:00:00+00:00,16.23803757754453,14.164201784965542,3,0.7172561314218162
single,1,0.15,0.85,2018-01-04 00:00:00+00:00,15.534152629918601,13.138177194034586,3,2.641256919038408
single,1,0.2,0.8,2018-01-04 00:00:00+00:00,13.75337973143227,11.572691147572407,4,3.679224517170759
single,1,0.25,0.75,2018-01-04 00:00:00+00:00,11.247298338136066,9.77976828822006,11,8.392548406896038
single,1,0.3,0.7,2018-01-04 00:00:00+00:00,12.078003438764764,10.853801686209064,10,9.392443375243593
single,1,0.35,0.65,2018-01-04 00:00:00+00:00,6.135482674459792,5.527867595452014,18,20.359848181731767
dual,0,0.05,0.95,2018-01-04 00:00:00+00:00,8.42105263169858,7.600000000105573,0,3.5660657727420066e-11
dual,0,0.1,0.9,2018-01-04 00:00:00+00:00,8.43385842621253,7.611557229134211,0,3.660717848160084e-09
dual,0,0.15,0.85,2018-01-04 00:00:00+00:00,8.491357060089033,7.581747164306203,1,0.08170258270514445
dual,0,0.2,0.8,2018-01-04 00:00:00+00:00,8.464558740884673,7.3994332985515365,1,0.23983096614607724
dual,0,0.25,0.75,2018-01-04 00:00:00+00:00,8.640742065854386,7.567364236869842,4,0.3532235367984053
dual,0,0.3,0.7,2018-01-04 00:00:00+00:00,8.602418784057154,7.534898879675758,2,0.3463711784787788
dual,0,0.35,0.65,2018-01-04 00:00:00+00:00,8.486466373607131,7.466926715596582,10,0.490931465600532
dual,1,0.05,0.95,2018-01-04 00:00:00+00:00,16.462264369113733,14.790787042765267,2,0.07358066521870033
dual,1,0.1,0.9,2018-01-04 00:00:00+00:00,16.23803757754453,14.164201784965542,3,0.7172561314218162
dual,1,0.15,0.85,2018-01-04 00:00:00+00:00,15.534152629918601,13.138177194034586,3,2.641256919038408
dual,1,0.2,0.8,2018-01-04 00:00:00+00:00,13.75337973143227,11.572691147572407,4,3.679224517170759
dual,1,0.25,0.75,2018-01-04 00:00:00+00:00,11.247298338136066,9.77976828822006,11,8.392548406896038
dual,1,0.3,0.7,2018-01-04 00:00:00+00:00,12.078003438764764,10.853801686209064,10,9.392443375243593
dual,1,0.35,0.65,2018-01-04 00:00:00+00:00,6.135482674459792,5.527867595452014,18,20.359848181731767
single,0,0.05,0.95,2018-01-05 00:00:00+00:00,8.210526316210888,7.41000000035547,0,4.841535365057494e-11
single,0,0.1,0.9,2018-01-05 00:00:00+00:00,8.210526320113209,7.410000003653046,0,8.187719305323176e-10
single,0,0.15,0.85,2018-01-05 00:00:00+00:00,8.210526315901841,7.4100000000955735,0,2.0147467832812043e-11
single,0,0.2,0.8,2018-01-05 00:00:00+00:00,8.21052631587874,7.410000000078478,0,9.799535561684231e-12
single,0,0.25,0.75,2018-01-05 00:00:00+00:00,8.210526315869055,7.409999999978712,0,1.5221689463914462e-10
single,0,0.3,0.7,2018-01-05 00:00:00+00:00,8.21052631606332,7.409999999928323,0,3.22022729515382e-10
single,0,0.35,0.65,2018-01-05 00:00:00+00:00,8.210524206253684,7.40999791727973,0,3.045072448469113e-07
single,1,0.05,0.95,2018-01-05 00:00:00+00:00,13.554493440692465,11.875400955701014,4,0.3961544316054585
single,1,0.1,0.9,2018-01-05 00:00:00+00:00,13.267644744128855,11.219006675093361,5,1.0405208708453442
single,1,0.15,0.85,2018-01-05 00:00:00+00:00,11.342708757806228,9.001199152406198,6,3.74029858581132
single,1,0.2,0.8,2018-01-05 00:00:00+00:00,10.245850402182551,8.484603844952815,12,9.972376257615862
single,1,0.25,0.75,2018-01-05 00:00:00+00:00,8.37527333880403,7.153614210245477,14,25.928796279455476
single,1,0.3,0.7,2018-01-05 00:00:00+00:00,8.796951523258725,7.833744213722876,15,32.64746454869302
single,1,0.35,0.65,2018-01-05 00:00:00+00:00,6.094753669438667,6.067401915676539,21,48.70571537398034
dual,0,0.05,0.95,2018-01-05 00:00:00+00:00,8.156905472470063,7.369522365758967,3,0.12870470472314502
dual,0,0.1,0.9,2018-01-05 00:00:00+00:00,8.429335930569687,7.702475677205227,4,0.4766481202686954
dual,0,0.15,0.85,2018-01-05 00:00:00+00:00,8.683483128685332,7.7755998517695275,5,1.0189390985200117
dual,0,0.2,0.8,2018-01-05 00:00:00+00:00,8.561578463227342,7.6448772168466,6,1.2451028425427617
dual,0,0.25,0.75,2018-01-05 00:00:00+00:00,8.394447182081556,7.434663207820639,10,1.770460536349121
dual,0,0.3,0.7,2018-01-05 00:00:00+00:00,8.683067644781993,7.680077285670681,10,2.022321013857119
dual,0,0.35,0.65,2018-01-05 00:00:00+00:00,8.214208743819523,7.348613020954588,11,2.6199487302656523
dual,1,0.05,0.95,2018-01-05 00:00:00+00:00,13.554493440692465,11.875400955701014,4,0.3961544316054585
dual,1,0.1,0.9,2018-01-05 00:00:00+00:00,13.267644744128855,11.219006675093361,5,1.0405208708453442
dual,1,0.15,0.85,2018-01-05 00:00:00+00:00,11.342708757806228,9.001199152406198,6,3.74029858581132
dual,1,0.2,0.8,2018-01-05 00:00:00+00:00,10.245850402182551,8.484603844952815,12,9.972376257615862
dual,1,0.25,0.75,2018-01-05 00:00:00+00:00,8.37527333880403,7.153614210245477,14,25.928796279455476
dual,1,0.3,0.7,2018-01-05 00:00:00+00:00,8.796951523258725,7.833744213722876,15,32.64746454869302
dual,1,0.35,0.65,2018-01-05 00:00:00+00:00,6.094753669438667,6.067401915676539,21,48.70571537398034
single,0,0.05,0.95,2018-01-06 00:00:00+00:00,10.526315789598307,9.500000000109285,0,2.8746342206956362e-11
single,0,0.1,0.9,2018-01-06 00:00:00+00:00,10.526315789643514,9.500000000147292,0,3.849553106841539e-11
single,0,0.15,0.85,2018-01-06 00:00:00+00:00,10.526315792637796,9.500000002647806,0,1.0317501839031637e-09
single,0,0.2,0.8,2018-01-06 00:00:00+00:00,10.526315800908495,9.500000009677564,0,2.263362274678309e-09
single,0,0.25,0.75,2018-01-06 00:00:00+00:00,10.526315816740668,9.500000022820435,0,3.9452353070368375e-09
single,0,0.3,0.7,2018-01-06 00:00:00+00:00,10.526315997795322,9.500000171731681,0,2.530423141575163e-08
single,0,0.35,0.65,2018-01-06 00:00:00+00:00,10.526316614968133,9.500000592107682,0,2.539810349452977e-07
single,1,0.05,0.95,2018-01-06 00:00:00+00:00,13.968514402857195,12.910398817101793,5,2.453883222139045
single,1,0.1,0.9,2018-01-06 00:00:00+00:00,12.79072739703138,11.93284353128455,10,6.3505717258723955
single,1,0.15,0.85,2018-01-06 00:00:00+00:00,12.542095973259997,11.7226631577986,17,15.685407429455859
single,1,0.2,0.8,2018-01-06 00:00:00+00:00,14.733232581591784,14.260717296331038,18,22.76363922956736
single,1,0.25,0.75,2018-01-06 00:00:00+00:00,16.02178603583789,15.589692367224083,20,34.11199758347098
single,1,0.3,0.7,2018-01-06 00:00:00+00:00,17.536493450701464,17.229330218410276,22,38.31431807239352
single,1,0.35,0.65,2018-01-06 00:00:00+00:00,18.646648060647564,17.761075170893417,22,72.1012267732969
dual,0,0.05,0.95,2018-01-06 00:00:00+00:00,10.526315790059943,9.500000000561966,0,9.921884440278165e-11
dual,0,0.1,0.9,2018-01-06 00:00:00+00:00,10.526315806914894,9.500000016170814,2,0.017556286436070143
dual,0,0.15,0.85,2018-01-06 00:00:00+00:00,10.524831260375315,9.498660212487277,4,0.3064629004361935
dual,0,0.2,0.8,2018-01-06 00:00:00+00:00,10.524580770365908,9.498434145266986,5,0.35350112039500836
dual,0,0.25,0.75,2018-01-06 00:00:00+00:00,10.446959912636572,9.397910103457194,11,1.5054698143215053
dual,0,0.3,0.7,2018-01-06 00:00:00+00:00,10.770383850815493,9.632512022513337,11,1.427529045001819
dual,0,0.35,0.65,2018-01-06 00:00:00+00:00,10.956652281604168,9.78964841898684,13,1.945102567712854
dual,1,0.05,0.95,2018-01-06 00:00:00+00:00,13.968514402857195,12.910398817101793,5,2.453883222139045
dual,1,0.1,0.9,2018-01-06 00:00:00+00:00,12.79072739703138,11.93284353128455,10,6.3505717258723955
dual,1,0.15,0.85,2018-01-06 00:00:00+00:00,12.542095973259997,11.7226631577986,17,15.685407429455859
dual,1,0.2,0.8,2018-01-06 00:00:00+00:00,14.733232581591784,14.260717296331038,18,22.76363922956736
dual,1,0.25,0.75,2018-01-06 00:00:00+00:00,16.02178603583789,15.589692367224083,20,34.11199758347098
dual,1,0.3,0.7,2018-01-06 00:00:00+00:00,17.536493450701464,17.229330218410276,22,38.31431807239352
dual,1,0.35,0.65,2018-01-06 00:00:00+00:00,18.646648060647564,17.761075170893417,22,72.1012267732969
single,0,0.05,0.95,2018-01-07 00:00:00+00:00,8.315789476229059,7.505000002201218,0,3.5800762766000063e-10
single,0,0.1,0.9,2018-01-07 00:00:00+00:00,8.315789473835657,7.505000000129824,0,2.2239751422628515e-11
single,0,0.15,0.85,2018-01-07 00:00:00+00:00,8.315789489964008,7.505000013535579,0,2.6114771208348343e-09
single,0,0.2,0.8,2018-01-07 00:00:00+00:00,8.315789475587165,7.505000001579168,0,2.841831317236669e-10
single,0,0.25,0.75,2018-01-07 00:00:00+00:00,8.315789485162309,7.505000009247979,0,1.1298029762007876e-09
single,0,0.3,0.7,2018-01-07 00:00:00+00:00,8.315789793089083,7.505000253212693,0,5.158683396847769e-08
single,0,0.35,0.65,2018-01-07 00:00:00+00:00,8.315789973234017,7.505000392645468,0,8.100033707760327e-08
single,1,0.05,0.95,2018-01-07 00:00:00+00:00,13.579791671428865,12.204084754045702,3,1.051091398134844
single,1,0.1,0.9,2018-01-07 00:00:00+00:00,11.996144515860017,10.274408939033798,6,3.325924858610293
single,1,0.15,0.85,2018-01-07 00:00:00+00:00,11.063012228259822,9.494654166511932,12,7.075128774506516
single,1,0.2,0.8,2018-01-07 00:00:00+00:00,10.998123133100748,9.564618728508968,13,10.392276781704728
single,1,0.25,0.75,2018-01-07 00:00:00+00:00,10.872282120681541,9.646666374213698,15,22.1443812696765
single,1,0.3,0.7,2018-01-07 00:00:00+00:00,11.972000312375748,10.752438924902172,16,20.752255921595925
single,1,0.35,0.65,2018-01-07 00:00:00+00:00,11.857163063216667,10.972235215752828,15,25.891524683160476
dual,0,0.05,0.95,2018-01-07 00:00:00+00:00,7.5846254427839765,6.8451244621004,0,2.4654557503494005e-11
dual,0,0.1,0.9,2018-01-07 00:00:00+00:00,7.964609711548428,7.18806026466126,0,2.0523407251399413e-11
dual,0,0.15,0.85,2018-01-07 00:00:00+00:00,8.48597453341655,7.638597668534102,4,0.02916832127345723
dual,0,0.2,0.8,2018-01-07 00:00:00+00:00,8.378809080981998,7.503018331977648,5,0.13325433964866462
dual,0,0.25,0.75,2018-01-07 00:00:00+00:00,8.257107269766292,7.382358202071225,7,0.7959224994589575
dual,0,0.3,0.7,2018-01-07 00:00:00+00:00,8.326241801843446,7.423711747918192,8,0.8018668742104827
dual,0,0.35,0.65,2018-01-07 00:00:00+00:00,7.8885609694358525,6.902518792924397,11,1.1565656200119374
dual,1,0.05,0.95,2018-01-07 00:00:00+00:00,13.579791671428865,12.204084754045702,3,1.051091398134844
dual,1,0.1,0.9,2018-01-07 00:00:00+00:00,11.996144515860017,10.274408939033798,6,3.325924858610293
dual,1,0.15,0.85,2018-01-07 00:00:00+00:00,11.063012228259822,9.494654166511932,12,7.075128774506516
dual,1,0.2,0.8,2018-01-07 00:00:00+00:00,10.998123133100748,9.564618728508968,13,10.392276781704728
dual,1,0.25,0.75,2018-01-07 00:00:00+00:00,10.872282120681541,9.646666374213698,15,22.1443812696765
dual,1,0.3,0.7,2018-01-07 00:00:00+00:00,11.972000312375748,10.752438924902172,16,20.752255921595925
dual,1,0.35,0.65,2018-01-07 00:00:00+00:00,11.857163063216667,10.972235215752828,15,25.891524683160476
single,0,0.05,0.95,2018-01-08 00:00:00+00:00,8.426592800292731,7.605000002151491,0,2.0287192203848065e-10
single,0,0.1,0.9,2018-01-08 00:00:00+00:00,8.42659280512005,7.605000006341923,0,6.10302239507319e-10
single,0,0.15,0.85,2018-01-08 00:00:00+00:00,8.426592798806485,7.605000000846895,0,1.3626565709772173e-10
single,0,0.2,0.8,2018-01-08 00:00:00+00:00,8.426592798593123,7.605000000645303,0,1.3454738494550405e-10
single,0,0.25,0.75,2018-01-08 00:00:00+00:00,8.42659280115692,7.605000002412595,0,6.374903951167208e-10
single,0,0.3,0.7,2018-01-08 00:00:00+00:00,8.426592778056698,7.604999972721488,0,1.574612859633132e-08
single,0,0.35,0.65,2018-01-08 00:00:00+00:00,8.426591693147019,7.604998889103847,0,2.2641227982890137e-07
single,1,0.05,0.95,2018-01-08 00:00:00+00:00,8.556080153568288,7.620350836625705,2,0.11247811852595435
single,1,0.1,0.9,2018-01-08 00:00:00+00:00,6.3769035430297585,5.433086522162745,11,1.4446731164495739
single,1,0.15,0.85,2018-01-08 00:00:00+00:00,3.458284659505755,2.9860134581962896,13,5.748810243685349
single,1,0.2,0.8,2018-01-08 00:00:00+00:00,2.3313485555703597,2.075339241780868,16,12.256898134011196
single,1,0.25,0.75,2018-01-08 00:00:00+00:00,0.4879470053834011,0.4903452065490696,19,25.73686120624069
single,1,0.3,0.7,2018-01-08 00:00:00+00:00,0.30702462831870697,0.2584744748558091,19,31.46034016031954
single,1,0.35,0.65,2018-01-08 00:00:00+00:00,0.0,0.0,24,58.36240190381942
dual,0,0.05,0.95,2018-01-08 00:00:00+00:00,8.51262855896186,7.680500986382497,3,0.005300500070760897
dual,0,0.1,0.9,2018-01-08 00:00:00+00:00,8.809414336181577,7.912664458308081,9,0.38037295727147297
dual,0,0.15,0.85,2018-01-08 00:00:00+00:00,9.133580110147465,7.888067201625592,8,0.9164181234983606
dual,0,0.2,0.8,2018-01-08 00:00:00+00:00,9.9470109974258,8.174136279820871,9,0.9594028219090843
dual,0,0.25,0.75,2018-01-08 00:00:00+00:00,10.024118186035135,8.065939813637081,8,1.7230537395465864
dual,0,0.3,0.7,2018-01-08 00:00:00+00:00,10.144745765936202,8.30900560498226,8,2.0664003257786017
dual,0,0.35,0.65,2018-01-08 00:00:00+00:00,10.112887691821157,8.105348533671268,11,3.7546805821387674
dual,1,0.05,0.95,2018-01-08 00:00:00+00:00,8.556080153568288,7.620350836625705,2,0.11247811852595435
dual,1,0.1,0.9,2018-01-08 00:00:00+00:00,6.3769035430297585,5.433086522162745,11,1.4446731164495739
dual,1,0.15,0.85,2018-01-08 00:00:00+00:00,3.458284659505755,2.9860134581962896,13,5.748810243685349
dual,1,0.2,0.8,2018-01-08 00:00:00+00:00,2.3313485555703597,2.075339241780868,16,12.256898134011196
